time_sec,wall_distance,desired_distance,error,ransac_slope,ransac_intercept,wall_angle_rad,Kp,Kd,steering_angle_rad,velocity,forward_distance,corner_urgency,num_wall_points
1772931471.940490,0.5454,0.5000,0.0454,0.0324,0.5457,0.0323,2.00,0.80,-0.0371,1.00,1.4540,0.5225,500
1772931471.964129,0.5472,0.5000,0.0472,0.0335,0.5475,0.0335,2.00,0.80,-0.0388,1.00,1.4370,0.5306,500
1772931471.977272,0.5472,0.5000,0.0472,0.0312,0.5475,0.0312,2.00,0.80,-0.0385,1.00,1.4420,0.5282,500
1772931471.989077,0.5375,0.5000,0.0375,0.0455,0.5380,0.0455,2.00,0.80,-0.0423,1.00,1.4420,0.5282,500
1772931472.000840,0.5376,0.5000,0.0376,0.0491,0.5382,0.0490,2.00,0.80,-0.0411,1.00,1.4410,0.5287,500
1772931472.012797,0.5374,0.5000,0.0374,0.0509,0.5381,0.0509,2.00,0.80,-0.0385,1.00,1.4500,0.5244,500
1772931472.023914,0.5412,0.5000,0.0412,0.0406,0.5417,0.0406,2.00,0.80,-0.0408,1.00,1.4410,0.5287,500
1772931472.035078,0.5421,0.5000,0.0421,0.0424,0.5426,0.0424,2.00,0.80,-0.0396,1.00,1.4400,0.5292,500
1772931472.045821,0.5405,0.5000,0.0405,0.0476,0.5411,0.0475,2.00,0.80,-0.0405,1.00,1.4340,0.5320,500
1772931472.056679,0.5409,0.5000,0.0409,0.0343,0.5412,0.0343,2.00,0.80,-0.0449,1.00,1.4350,0.5315,500
1772931472.067222,0.5368,0.5000,0.0368,0.0553,0.5376,0.0553,2.00,0.80,-0.0404,1.00,1.4370,0.5306,500
1772931472.078494,0.5443,0.5000,0.0443,0.0343,0.5447,0.0342,2.00,0.80,-0.0412,1.00,1.4370,0.5306,500
1772931472.089192,0.5389,0.5000,0.0389,0.0479,0.5395,0.0479,2.00,0.80,-0.0381,1.00,1.4510,0.5239,500
1772931472.111392,0.5413,0.5000,0.0413,0.0395,0.5418,0.0395,2.00,0.80,-0.0418,1.00,1.4380,0.5301,500
1772931472.133226,0.5402,0.5000,0.0402,0.0467,0.5408,0.0466,2.00,0.80,-0.0413,1.00,1.4330,0.5324,500
1772931472.160612,0.5376,0.5000,0.0376,0.0508,0.5383,0.0507,2.00,0.80,-0.0395,1.00,1.4450,0.5268,500
1772931472.186769,0.5452,0.5000,0.0452,0.0347,0.5456,0.0347,2.00,0.80,-0.0379,1.00,1.4470,0.5258,500
1772931472.212132,0.5374,0.5000,0.0374,0.0498,0.5380,0.0497,2.00,0.80,-0.0422,1.00,1.4360,0.5310,500
1772931472.238508,0.5465,0.5000,0.0465,0.0310,0.5468,0.0310,2.00,0.80,-0.0419,1.00,1.4300,0.5339,500
1772931472.261986,0.5460,0.5000,0.0460,0.0360,0.5463,0.0360,2.00,0.80,-0.0365,1.00,1.4480,0.5254,500
1772931472.287300,0.5465,0.5000,0.0465,0.0351,0.5468,0.0351,2.00,0.80,-0.0391,1.00,1.4360,0.5310,500
1772931472.312135,0.5397,0.5000,0.0397,0.0491,0.5404,0.0491,2.00,0.80,-0.0398,1.00,1.4380,0.5301,500
1772931472.336477,0.5390,0.5000,0.0390,0.0479,0.5396,0.0478,2.00,0.80,-0.0402,1.00,1.4410,0.5287,500
1772931472.362100,0.5465,0.5000,0.0465,0.0306,0.5468,0.0306,2.00,0.80,-0.0415,1.00,1.4330,0.5324,500
1772931472.390626,0.5468,0.5000,0.0468,0.0322,0.5471,0.0322,2.00,0.80,-0.0372,1.00,1.4480,0.5254,500
1772931472.413997,0.5354,0.5000,0.0354,0.0543,0.5362,0.0543,2.00,0.80,-0.0430,1.00,1.4330,0.5324,500
1772931472.437605,0.5447,0.5000,0.0447,0.0373,0.5451,0.0373,2.00,0.80,-0.0388,1.00,1.4410,0.5287,500
1772931472.461724,0.5376,0.5000,0.0376,0.0491,0.5382,0.0490,2.00,0.80,-0.0414,1.00,1.4400,0.5292,500
1772931472.488983,0.5477,0.5000,0.0477,0.0294,0.5480,0.0294,2.00,0.80,-0.0387,1.00,1.4420,0.5282,500
1772931472.514990,0.5461,0.5000,0.0461,0.0349,0.5464,0.0348,2.00,0.80,-0.0410,1.00,1.4300,0.5339,500
1772931472.537649,0.5426,0.5000,0.0426,0.0472,0.5432,0.0472,2.00,0.80,-0.0339,1.00,1.4550,0.5220,500
1772931472.561363,0.5375,0.5000,0.0375,0.0556,0.5384,0.0556,2.00,0.80,-0.0346,1.00,1.4590,0.5201,500
1772931472.586656,0.5451,0.5000,0.0451,0.0336,0.5454,0.0336,2.00,0.80,-0.0376,1.00,1.4510,0.5239,500
1772931472.611921,0.5430,0.5000,0.0430,0.0425,0.5435,0.0425,2.00,0.80,-0.0367,1.00,1.4490,0.5249,500
1772931472.636322,0.5389,0.5000,0.0389,0.0533,0.5397,0.0532,2.00,0.80,-0.0372,1.00,1.4460,0.5263,500
1772931472.662155,0.5379,0.5000,0.0379,0.0550,0.5387,0.0550,2.00,0.80,-0.0388,1.00,1.4400,0.5292,500
1772931472.691941,0.5380,0.5000,0.0380,0.0504,0.5387,0.0503,2.00,0.80,-0.0411,1.00,1.4370,0.5306,500
1772931472.712606,0.5470,0.5000,0.0470,0.0357,0.5474,0.0356,2.00,0.80,-0.0341,1.00,1.4550,0.5220,500
1772931472.741783,0.5493,0.5000,0.0493,0.0310,0.5496,0.0310,2.00,0.80,-0.0355,1.00,1.4470,0.5258,500
1772931472.763957,0.5420,0.5000,0.0420,0.0366,0.5424,0.0366,2.00,0.80,-0.0410,1.00,1.4440,0.5273,500
1772931472.783594,0.5430,0.5000,0.0430,0.0424,0.5434,0.0424,2.00,0.80,-0.0388,1.00,1.4400,0.5292,500
1772931472.809655,0.5483,0.5000,0.0483,0.0305,0.5486,0.0305,2.00,0.80,-0.0368,1.00,1.4460,0.5263,500
1772931472.840332,0.5411,0.5000,0.0411,0.0471,0.5417,0.0471,2.00,0.80,-0.0381,1.00,1.4430,0.5277,500
1772931472.860311,0.5497,0.5000,0.0497,0.0233,0.5498,0.0233,2.00,0.80,-0.0394,1.00,1.4410,0.5287,500
1772931472.885700,0.5489,0.5000,0.0489,0.0296,0.5491,0.0296,2.00,0.80,-0.0383,1.00,1.4390,0.5296,500
1772931472.913133,0.5389,0.5000,0.0389,0.0503,0.5396,0.0502,2.00,0.80,-0.0412,1.00,1.4330,0.5324,500
1772931472.937454,0.5493,0.5000,0.0493,0.0263,0.5495,0.0263,2.00,0.80,-0.0427,1.00,1.4230,0.5371,500
1772931472.963242,0.5378,0.5000,0.0378,0.0514,0.5385,0.0514,2.00,0.80,-0.0432,1.00,1.4270,0.5353,500
1772931472.987476,0.5434,0.5000,0.0434,0.0421,0.5439,0.0421,2.00,0.80,-0.0421,1.00,1.4240,0.5367,500
1772931473.012931,0.5515,0.5000,0.0515,0.0201,0.5516,0.0201,2.00,0.80,-0.0420,1.00,1.4270,0.5353,500
1772931473.040064,0.5493,0.5000,0.0493,0.0286,0.5495,0.0285,2.00,0.80,-0.0401,1.00,1.4310,0.5334,500
1772931473.061282,0.5527,0.5000,0.0527,0.0194,0.5528,0.0193,2.00,0.80,-0.0406,1.00,1.4300,0.5339,500
1772931473.087395,0.5512,0.5000,0.0512,0.0226,0.5513,0.0226,2.00,0.80,-0.0396,1.00,1.4350,0.5315,500
1772931473.115613,0.5509,0.5000,0.0509,0.0271,0.5511,0.0271,2.00,0.80,-0.0382,1.00,1.4350,0.5315,500
1772931473.139996,0.5525,0.5000,0.0525,0.0220,0.5526,0.0220,2.00,0.80,-0.0393,1.00,1.4320,0.5329,500
1772931473.163529,0.5547,0.5000,0.0547,0.0166,0.5548,0.0166,2.00,0.80,-0.0382,1.00,1.4370,0.5306,500
1772931473.187472,0.5495,0.5000,0.0495,0.0300,0.5498,0.0300,2.00,0.80,-0.0379,1.00,1.4370,0.5306,500
1772931473.213358,0.5517,0.5000,0.0517,0.0254,0.5518,0.0254,2.00,0.80,-0.0386,1.00,1.4330,0.5324,500
1772931473.238608,0.5523,0.5000,0.0523,0.0177,0.5524,0.0177,2.00,0.80,-0.0413,1.00,1.4310,0.5334,500
1772931473.267411,0.5411,0.5000,0.0411,0.0541,0.5419,0.0540,2.00,0.80,-0.0376,1.00,1.4340,0.5320,500
1772931473.287858,0.5397,0.5000,0.0397,0.0509,0.5404,0.0508,2.00,0.80,-0.0389,1.00,1.4390,0.5296,500
1772931473.314437,0.5485,0.5000,0.0485,0.0386,0.5489,0.0386,2.00,0.80,-0.0366,1.00,1.4330,0.5324,500
1772931473.339521,0.5505,0.5000,0.0505,0.0279,0.5507,0.0279,2.00,0.80,-0.0408,1.00,1.4240,0.5367,500
1772931473.366032,0.5515,0.5000,0.0515,0.0261,0.5517,0.0261,2.00,0.80,-0.0362,1.00,1.4430,0.5277,500
1772931473.388106,0.5522,0.5000,0.0522,0.0232,0.5524,0.0232,2.00,0.80,-0.0373,1.00,1.4400,0.5292,500
1772931473.416177,0.5496,0.5000,0.0496,0.0331,0.5499,0.0331,2.00,0.80,-0.0372,1.00,1.4350,0.5315,500
1772931473.437181,0.5466,0.5000,0.0466,0.0425,0.5471,0.0425,2.00,0.80,-0.0339,1.00,1.4460,0.5263,500
1772931473.463804,0.5450,0.5000,0.0450,0.0369,0.5454,0.0369,2.00,0.80,-0.0371,1.00,1.4480,0.5254,500
1772931473.489062,0.5496,0.5000,0.0496,0.0424,0.5501,0.0424,2.00,0.80,-0.0306,1.00,1.4480,0.5254,500
1772931473.515584,0.5451,0.5000,0.0451,0.0478,0.5457,0.0478,2.00,0.80,-0.0317,1.00,1.4530,0.5230,500
1772931473.538911,0.5527,0.5000,0.0527,0.0279,0.5529,0.0279,2.00,0.80,-0.0328,1.00,1.4500,0.5244,500
1772931473.563795,0.5518,0.5000,0.0518,0.0319,0.5521,0.0319,2.00,0.80,-0.2186,1.00,0.5920,0.8390,500
1772931473.587254,0.5552,0.5000,0.0552,0.0262,0.5554,0.0262,2.00,0.80,-0.2161,1.00,0.6020,0.8361,500
1772931473.616099,0.5546,0.5000,0.0546,0.0224,0.5548,0.0224,2.00,0.80,-0.2212,1.00,0.5810,0.8423,500
1772931473.636905,0.5498,0.5000,0.0498,0.0330,0.5501,0.0330,2.00,0.80,-0.2249,1.00,0.5640,0.8473,500
