time_sec,wall_distance,desired_distance,error,ransac_slope,ransac_intercept,wall_angle_rad,Kp,Kd,steering_angle_rad,velocity,forward_distance,corner_urgency,num_wall_points
1772931440.297614,0.5588,0.5000,0.0588,0.1035,0.5618,0.1031,2.00,0.80,-0.0459,1.00,1.2660,0.6058,500
1772931440.324171,0.5584,0.5000,0.0584,0.1040,0.5614,0.1037,2.00,0.80,-0.0453,1.00,1.2690,0.6046,500
1772931440.337031,0.5511,0.5000,0.0511,0.1077,0.5543,0.1073,2.00,0.80,-0.0519,1.00,1.2610,0.6079,500
1772931440.348642,0.5582,0.5000,0.0582,0.1042,0.5612,0.1038,2.00,0.80,-0.0464,1.00,1.2650,0.6062,500
1772931440.359857,0.5565,0.5000,0.0565,0.1046,0.5596,0.1043,2.00,0.80,-0.0456,1.00,1.2730,0.6029,500
1772931440.370915,0.5551,0.5000,0.0551,0.1058,0.5582,0.1055,2.00,0.80,-0.0473,1.00,1.2690,0.6046,500
1772931440.382108,0.5578,0.5000,0.0578,0.1044,0.5609,0.1040,2.00,0.80,-0.0464,1.00,1.2660,0.6058,500
1772931440.395905,0.5574,0.5000,0.0574,0.1045,0.5605,0.1042,2.00,0.80,-0.0459,1.00,1.2690,0.6046,500
1772931440.408453,0.5567,0.5000,0.0567,0.1049,0.5598,0.1045,2.00,0.80,-0.0449,1.00,1.2750,0.6021,500
1772931440.419847,0.5557,0.5000,0.0557,0.1054,0.5588,0.1050,2.00,0.80,-0.0480,1.00,1.2650,0.6062,500
1772931440.431334,0.5545,0.5000,0.0545,0.1071,0.5577,0.1067,2.00,0.80,-0.0489,1.00,1.2630,0.6070,500
1772931440.446013,0.5548,0.5000,0.0548,0.1077,0.5580,0.1073,2.00,0.80,-0.0485,1.00,1.2630,0.6070,500
1772931440.459788,0.5585,0.5000,0.0585,0.1053,0.5616,0.1050,2.00,0.80,-0.0476,1.00,1.2580,0.6091,500
1772931440.485404,0.5542,0.5000,0.0542,0.1087,0.5574,0.1083,2.00,0.80,-0.0507,1.00,1.2550,0.6103,500
1772931440.513315,0.5582,0.5000,0.0582,0.1061,0.5613,0.1057,2.00,0.80,-0.0494,1.00,1.2510,0.6120,500
1772931440.539685,0.5578,0.5000,0.0578,0.1074,0.5610,0.1070,2.00,0.80,-0.0495,1.00,1.2500,0.6124,500
1772931440.564194,0.5589,0.5000,0.0589,0.1071,0.5621,0.1067,2.00,0.80,-0.0518,1.00,1.2380,0.6173,500
1772931440.589214,0.5600,0.5000,0.0600,0.1062,0.5632,0.1058,2.00,0.80,-0.0479,1.00,1.2510,0.6120,500
1772931440.613297,0.5575,0.5000,0.0575,0.1078,0.5607,0.1073,2.00,0.80,-0.0534,1.00,1.2350,0.6185,500
1772931440.640558,0.5546,0.5000,0.0546,0.1101,0.5580,0.1097,2.00,0.80,-0.0536,1.00,1.2400,0.6164,500
1772931440.665653,0.5567,0.5000,0.0567,0.1101,0.5601,0.1096,2.00,0.80,-0.0538,1.00,1.2330,0.6193,500
1772931440.688048,0.5613,0.5000,0.0613,0.1066,0.5645,0.1062,2.00,0.80,-0.0526,1.00,1.2280,0.6213,500
1772931440.720432,0.5623,0.5000,0.0623,0.1064,0.5654,0.1060,2.00,0.80,-0.0540,1.00,1.2200,0.6245,500
1772931440.740765,0.5612,0.5000,0.0612,0.1074,0.5644,0.1070,2.00,0.80,-0.0573,1.00,1.2090,0.6289,500
1772931440.765487,0.5626,0.5000,0.0626,0.1083,0.5659,0.1079,2.00,0.80,-0.0585,1.00,1.1990,0.6329,500
1772931441.139128,0.5636,0.5000,0.0636,0.1081,0.5669,0.1076,2.00,0.80,-0.0596,1.00,1.1920,0.6356,500
1772931441.158268,0.5674,0.5000,0.0674,0.1112,0.5709,0.1107,2.00,0.80,-0.0660,1.00,1.1530,0.6508,500
1772931441.176764,0.5669,0.5000,0.0669,0.1129,0.5705,0.1125,2.00,0.80,-0.0669,1.00,1.1490,0.6523,500
1772931441.188778,0.5678,0.5000,0.0678,0.1128,0.5714,0.1123,2.00,0.80,-0.0702,1.00,1.1340,0.6580,500
1772931441.201188,0.5696,0.5000,0.0696,0.1135,0.5733,0.1130,2.00,0.80,-0.0718,1.00,1.1220,0.6626,500
1772931441.213571,0.5701,0.5000,0.0701,0.1157,0.5739,0.1152,2.00,0.80,-0.0778,1.00,1.0950,0.6727,500
1772931441.225171,0.5742,0.5000,0.0742,0.1173,0.5781,0.1167,2.00,0.80,-0.0799,1.00,1.0750,0.6801,500
1772931441.236825,0.5747,0.5000,0.0747,0.1191,0.5788,0.1186,2.00,0.80,-0.0830,1.00,1.0600,0.6856,500
1772931441.247914,0.5793,0.5000,0.0793,0.1189,0.5834,0.1183,2.00,0.80,-0.0846,1.00,1.0430,0.6917,500
1772931441.259186,0.5769,0.5000,0.0769,0.1225,0.5812,0.1219,2.00,0.80,-0.0894,1.00,1.0270,0.6975,500
1772931441.270290,0.5833,0.5000,0.0833,0.1205,0.5875,0.1199,2.00,0.80,-0.0905,1.00,1.0100,0.7036,500
1772931441.282040,0.5827,0.5000,0.0827,0.1235,0.5872,0.1229,2.00,0.80,-0.0964,1.00,0.9860,0.7120,500
1772931441.293231,0.5868,0.5000,0.0868,0.1231,0.5912,0.1225,2.00,0.80,-0.1024,1.00,0.9550,0.7228,500
1772931441.304303,0.5881,0.5000,0.0881,0.1242,0.5926,0.1236,2.00,0.80,-0.1022,1.00,0.9520,0.7239,500
1772931441.315533,0.5901,0.5000,0.0901,0.1264,0.5948,0.1257,2.00,0.80,-0.1070,1.00,0.9280,0.7321,500
1772931441.326401,0.5954,0.5000,0.0954,0.1248,0.6000,0.1242,2.00,0.80,-0.1085,1.00,0.9130,0.7372,500
1772931441.337404,0.5927,0.5000,0.0927,0.1324,0.5978,0.1316,2.00,0.80,-0.1122,1.00,0.8990,0.7420,500
1772931441.348374,0.5941,0.5000,0.0941,0.1346,0.5995,0.1338,2.00,0.80,0.0198,1.00,1.3610,0.5652,500
1772931441.359373,0.5946,0.5000,0.0946,0.1384,0.6002,0.1375,2.00,0.80,0.0154,1.00,1.3410,0.5740,500
1772931441.370326,0.6053,0.5000,0.1053,0.1371,0.6110,0.1362,2.00,0.80,0.0164,1.00,1.3160,0.5848,500
1772931441.390808,0.6067,0.5000,0.1067,0.1472,0.6133,0.1461,2.00,0.80,0.0193,1.00,1.3110,0.5869,500
1772931441.415205,0.6064,0.5000,0.1064,0.1562,0.6137,0.1550,2.00,0.80,0.0157,1.00,1.2910,0.5954,500
1772931441.439736,0.6165,0.5000,0.1165,0.1600,0.6244,0.1587,2.00,0.80,0.0168,1.00,1.2650,0.6062,500
1772931441.465396,0.6159,0.5000,0.1159,0.1688,0.6246,0.1672,2.00,0.80,0.0145,1.00,1.2510,0.6120,500
1772931441.490930,0.6218,0.5000,0.1218,0.1696,0.6307,0.1680,2.00,0.80,0.0116,1.00,1.2270,0.6217,500
1772931441.516819,0.6233,0.5000,0.1233,0.1657,0.6318,0.1642,2.00,0.80,0.0045,1.00,1.2050,0.6305,500
1772931441.542693,0.6283,0.5000,0.1283,0.1553,0.6358,0.1541,2.00,0.80,-0.0009,1.00,1.1860,0.6380,500
1772931441.567995,0.6288,0.5000,0.1288,0.1504,0.6359,0.1493,2.00,0.80,0.0051,1.00,1.2080,0.6293,500
1772931441.595686,0.6248,0.5000,0.1248,0.1501,0.6318,0.1490,2.00,0.80,0.0534,1.00,1.3660,0.5630,500
1772931441.617471,0.6307,0.5000,0.1307,0.1426,0.6371,0.1417,2.00,0.80,0.0506,1.00,1.3500,0.5701,500
1772931441.642978,0.6312,0.5000,0.1312,0.1401,0.6373,0.1392,2.00,0.80,0.0522,1.00,1.3560,0.5675,500
1772931441.668194,0.6278,0.5000,0.1278,0.1402,0.6339,0.1393,2.00,0.80,0.3400,1.00,2.1880,0.0000,500
1772931441.691129,0.6327,0.5000,0.1327,0.1339,0.6384,0.1331,2.00,0.80,0.3400,1.00,2.1610,0.0000,500
1772931441.723624,0.6345,0.5000,0.1345,0.1268,0.6396,0.1261,2.00,0.80,0.3400,1.00,2.1340,0.0000,500
1772931441.744772,0.6328,0.5000,0.1328,0.1231,0.6376,0.1224,2.00,0.80,0.3400,1.00,2.0820,0.0000,500
1772931441.768934,0.6316,0.5000,0.1316,0.1161,0.6359,0.1156,2.00,0.80,0.3400,1.00,2.0380,0.0000,500
1772931441.791229,0.6237,0.5000,0.1237,0.1069,0.6273,0.1065,2.00,0.80,0.2695,1.00,1.9470,0.1628,500
1772931441.820770,0.6242,0.5000,0.1242,0.0865,0.6266,0.0863,2.00,0.80,0.1991,1.00,1.8370,0.2855,500
1772931441.843283,0.6163,0.5000,0.1163,0.0656,0.6176,0.0655,2.00,0.80,0.1332,1.00,1.7270,0.3695,500
1772931441.868970,0.6129,0.5000,0.1129,0.0366,0.6133,0.0366,2.00,0.80,0.0717,1.00,1.5960,0.4494,500
1772931441.895419,0.5991,0.5000,0.0991,0.0122,0.5991,0.0122,2.00,0.80,0.0116,1.00,1.4730,0.5133,500
1772931441.919584,0.5922,0.5000,0.0922,-0.0158,0.5923,-0.0158,2.00,0.80,-0.0332,1.00,1.3640,0.5639,500
1772931441.948165,0.5851,0.5000,0.0851,-0.0436,0.5857,-0.0436,2.00,0.80,-0.0682,1.00,1.2800,0.6000,500
1772931441.968433,0.5778,0.5000,0.0778,-0.0672,0.5791,-0.0670,2.00,0.80,-0.0958,1.00,1.2130,0.6273,500
1772931441.992628,0.5697,0.5000,0.0697,-0.0833,0.5717,-0.0831,2.00,0.80,-0.1163,1.00,1.1640,0.6465,500
1772931442.017619,0.5649,0.5000,0.0649,-0.0947,0.5675,-0.0945,2.00,0.80,-0.1298,1.00,1.1280,0.6603,500
1772931442.041242,0.5596,0.5000,0.0596,-0.0954,0.5621,-0.0951,2.00,0.80,-0.1357,1.00,1.1170,0.6645,500
1772931442.068586,0.5565,0.5000,0.0565,-0.0924,0.5588,-0.0921,2.00,0.80,-0.1371,1.00,1.1160,0.6648,500
1772931442.094056,0.5528,0.5000,0.0528,-0.0845,0.5548,-0.0843,2.00,0.80,-0.1367,1.00,1.1200,0.6633,500
1772931442.121177,0.5568,0.5000,0.0568,-0.0826,0.5587,-0.0824,2.00,0.80,-0.1290,1.00,1.1440,0.6542,500
1772931442.144807,0.5568,0.5000,0.0568,-0.0753,0.5584,-0.0752,2.00,0.80,-0.1236,1.00,1.1620,0.6473,500
1772931442.168165,0.5548,0.5000,0.0548,-0.0633,0.5559,-0.0632,2.00,0.80,-0.1199,1.00,1.1710,0.6438,500
1772931442.194515,0.5556,0.5000,0.0556,-0.0534,0.5564,-0.0533,2.00,0.80,-0.1120,1.00,1.1940,0.6348,500
1772931442.216662,0.5550,0.5000,0.0550,-0.0420,0.5555,-0.0420,2.00,0.80,-0.1041,1.00,1.2190,0.6249,500
1772931442.244994,0.5536,0.5000,0.0536,-0.0297,0.5538,-0.0297,2.00,0.80,-0.0964,1.00,1.2440,0.6148,500
1772931442.269966,0.5562,0.5000,0.0562,-0.0217,0.5563,-0.0217,2.00,0.80,-0.0863,1.00,1.2710,0.6037,500
1772931442.293360,0.5581,0.5000,0.0581,-0.0134,0.5581,-0.0134,2.00,0.80,-0.0744,1.00,1.3070,0.5886,500
1772931442.319823,0.5607,0.5000,0.0607,-0.0077,0.5607,-0.0077,2.00,0.80,-0.0666,1.00,1.3240,0.5814,500
1772931442.344972,0.5612,0.5000,0.0612,0.0010,0.5612,0.0010,2.00,0.80,-0.0566,1.00,1.3540,0.5683,500
1772931442.368646,0.5608,0.5000,0.0608,0.0102,0.5608,0.0102,2.00,0.80,-0.0486,1.00,1.3770,0.5581,500
1772931442.393620,0.5642,0.5000,0.0642,0.0151,0.5642,0.0151,2.00,0.80,-0.0410,1.00,1.3890,0.5527,500
1772931442.418570,0.5658,0.5000,0.0658,0.0205,0.5659,0.0205,2.00,0.80,-0.0317,1.00,1.4140,0.5413,500
1772931442.443579,0.5646,0.5000,0.0646,0.0274,0.5648,0.0274,2.00,0.80,-0.0260,1.00,1.4320,0.5329,500
1772931442.469411,0.5597,0.5000,0.0597,0.0350,0.5600,0.0350,2.00,0.80,-0.0234,1.00,1.4500,0.5244,500
1772931442.492879,0.5639,0.5000,0.0639,0.0345,0.5642,0.0345,2.00,0.80,-0.0169,1.00,1.4610,0.5191,500
1772931442.519357,0.5640,0.5000,0.0640,0.0357,0.5644,0.0357,2.00,0.80,-0.0154,1.00,1.4650,0.5172,500
1772931442.546431,0.5663,0.5000,0.0663,0.0331,0.5666,0.0330,2.00,0.80,-0.0162,1.00,1.4570,0.5211,500
1772931442.571893,0.5658,0.5000,0.0658,0.0327,0.5661,0.0327,2.00,0.80,-0.0160,1.00,1.4600,0.5196,500
1772931442.594873,0.5663,0.5000,0.0663,0.0325,0.5666,0.0325,2.00,0.80,-0.0156,1.00,1.4600,0.5196,500
1772931442.622255,0.5615,0.5000,0.0615,0.0354,0.5619,0.0354,2.00,0.80,-0.0191,1.00,1.4600,0.5196,500
1772931442.644792,0.5617,0.5000,0.0617,0.0326,0.5620,0.0326,2.00,0.80,-0.0205,1.00,1.4580,0.5206,500
1772931442.669703,0.5596,0.5000,0.0596,0.0299,0.5598,0.0299,2.00,0.80,-0.0290,1.00,1.4350,0.5315,500
1772931442.700444,0.5635,0.5000,0.0635,0.0228,0.5636,0.0228,2.00,0.80,-0.0304,1.00,1.4250,0.5362,500
1772931442.718909,0.5587,0.5000,0.0587,0.0245,0.5589,0.0245,2.00,0.80,-0.0381,1.00,1.4080,0.5441,500
1772931442.744094,0.5602,0.5000,0.0602,0.0199,0.5603,0.0199,2.00,0.80,-0.0392,1.00,1.4050,0.5454,500
1772931442.769429,0.5594,0.5000,0.0594,0.0179,0.5595,0.0179,2.00,0.80,-0.0460,1.00,1.3820,0.5559,500
1772931442.798521,0.5582,0.5000,0.0582,0.0162,0.5583,0.0162,2.00,0.80,-0.0489,1.00,1.3760,0.5586,500
1772931442.817638,0.5569,0.5000,0.0569,0.0156,0.5570,0.0156,2.00,0.80,-0.0503,1.00,1.3760,0.5586,500
1772931442.842779,0.5566,0.5000,0.0566,0.0134,0.5566,0.0134,2.00,0.80,-0.0534,1.00,1.3670,0.5626,500
1772931442.871227,0.5533,0.5000,0.0533,0.0153,0.5534,0.0153,2.00,0.80,-0.0554,1.00,1.3680,0.5621,500
1772931442.895672,0.5524,0.5000,0.0524,0.0159,0.5525,0.0159,2.00,0.80,-0.0573,1.00,1.3620,0.5648,500
1772931442.918489,0.5546,0.5000,0.0546,0.0145,0.5547,0.0145,2.00,0.80,-0.0563,1.00,1.3600,0.5657,500
1772931442.947306,0.5532,0.5000,0.0532,0.0162,0.5533,0.0162,2.00,0.80,-0.0540,1.00,1.3730,0.5599,500
1772931442.970305,0.5479,0.5000,0.0479,0.0218,0.5480,0.0218,2.00,0.80,-0.0557,1.00,1.3780,0.5577,500
1772931442.995848,0.5543,0.5000,0.0543,0.0173,0.5544,0.0173,2.00,0.80,-0.0513,1.00,1.3790,0.5572,500
1772931443.023462,0.5526,0.5000,0.0526,0.0209,0.5527,0.0209,2.00,0.80,-0.0522,1.00,1.3760,0.5586,500
1772931443.046935,0.5554,0.5000,0.0554,0.0194,0.5555,0.0194,2.00,0.80,-0.0485,1.00,1.3840,0.5550,500
1772931443.069717,0.5515,0.5000,0.0515,0.0236,0.5516,0.0236,2.00,0.80,-0.0512,1.00,1.3810,0.5563,500
1772931443.096839,0.5556,0.5000,0.0556,0.0208,0.5557,0.0208,2.00,0.80,-0.0476,1.00,1.3850,0.5545,500
