time_sec,wall_distance,desired_distance,error,ransac_slope,ransac_intercept,wall_angle_rad,Kp,Kd,steering_angle_rad,velocity,forward_distance,corner_urgency,num_wall_points
1772931620.335029,0.4837,0.5000,-0.0163,0.0268,0.4838,0.0267,2.00,0.80,-0.1342,1.00,1.2360,0.6181,500
1772931620.351633,0.4824,0.5000,-0.0176,0.0294,0.4826,0.0294,2.00,0.80,-0.1342,1.00,1.2370,0.6177,500
1772931620.363416,0.4808,0.5000,-0.0192,0.0346,0.4811,0.0345,2.00,0.80,-0.1340,1.00,1.2360,0.6181,500
1772931620.374688,0.4886,0.5000,-0.0114,0.0217,0.4887,0.0217,2.00,0.80,-0.1301,1.00,1.2470,0.6136,500
1772931620.385748,0.4807,0.5000,-0.0193,0.0292,0.4809,0.0292,2.00,0.80,-0.1357,1.00,1.2360,0.6181,500
1772931620.396619,0.4820,0.5000,-0.0180,0.0300,0.4822,0.0300,2.00,0.80,-0.1340,1.00,1.2390,0.6168,500
1772931620.407770,0.4845,0.5000,-0.0155,0.0281,0.4847,0.0281,2.00,0.80,-0.1330,1.00,1.2370,0.6177,500
1772931620.418496,0.4811,0.5000,-0.0189,0.0297,0.4814,0.0297,2.00,0.80,-0.1352,1.00,1.2360,0.6181,500
1772931620.429162,0.4844,0.5000,-0.0156,0.0298,0.4846,0.0298,2.00,0.80,-0.1319,1.00,1.2410,0.6160,500
1772931620.441049,0.4865,0.5000,-0.0135,0.0247,0.4866,0.0247,2.00,0.80,-0.1332,1.00,1.2330,0.6193,500
1772931620.452183,0.4833,0.5000,-0.0167,0.0292,0.4835,0.0292,2.00,0.80,-0.1332,1.00,1.2390,0.6168,500
1772931620.463124,0.4842,0.5000,-0.0158,0.0268,0.4844,0.0268,2.00,0.80,-0.1324,1.00,1.2440,0.6148,500
1772931620.473655,0.4792,0.5000,-0.0208,0.0389,0.4795,0.0389,2.00,0.80,-0.1331,1.00,1.2410,0.6160,500
1772931620.484700,0.4901,0.5000,-0.0099,0.0221,0.4902,0.0221,2.00,0.80,-0.1292,1.00,1.2450,0.6144,500
1772931620.508392,0.4826,0.5000,-0.0174,0.0385,0.4830,0.0385,2.00,0.80,-0.1277,1.00,1.2580,0.6091,500
1772931620.536271,0.4845,0.5000,-0.0155,0.0341,0.4848,0.0341,2.00,0.80,-0.1295,1.00,1.2470,0.6136,500
1772931620.560380,0.4858,0.5000,-0.0142,0.0340,0.4861,0.0340,2.00,0.80,-0.1261,1.00,1.2610,0.6079,500
1772931620.583127,0.4910,0.5000,-0.0090,0.0277,0.4912,0.0277,2.00,0.80,-0.1235,1.00,1.2640,0.6066,500
1772931620.610760,0.4912,0.5000,-0.0088,0.0280,0.4914,0.0280,2.00,0.80,-0.1213,1.00,1.2750,0.6021,500
1772931620.635312,0.4931,0.5000,-0.0069,0.0284,0.4933,0.0284,2.00,0.80,-0.1191,1.00,1.2790,0.6004,500
1772931620.661060,0.4823,0.5000,-0.0177,0.0495,0.4829,0.0494,2.00,0.80,-0.1204,1.00,1.2820,0.5992,500
1772931620.688321,0.4871,0.5000,-0.0129,0.0437,0.4876,0.0436,2.00,0.80,-0.1173,1.00,1.2880,0.5967,500
1772931620.714460,0.4931,0.5000,-0.0069,0.0356,0.4934,0.0356,2.00,0.80,-0.1132,1.00,1.2990,0.5920,500
1772931620.733959,0.4922,0.5000,-0.0078,0.0438,0.4927,0.0438,2.00,0.80,-0.1084,1.00,1.3150,0.5852,500
1772931620.757956,0.4961,0.5000,-0.0039,0.0397,0.4965,0.0397,2.00,0.80,-0.1064,1.00,1.3160,0.5848,500
1772931620.788129,0.4944,0.5000,-0.0056,0.0468,0.4949,0.0468,2.00,0.80,-0.1016,1.00,1.3370,0.5758,500
1772931620.813519,0.4986,0.5000,-0.0014,0.0435,0.4991,0.0435,2.00,0.80,-0.0969,1.00,1.3490,0.5705,500
1772931620.834121,0.4999,0.5000,-0.0001,0.0485,0.5005,0.0485,2.00,0.80,-0.0928,1.00,1.3560,0.5675,500
1772931620.861529,0.4914,0.5000,-0.0086,0.0658,0.4925,0.0657,2.00,0.80,-0.0900,1.00,1.3780,0.5577,500
1772931620.884588,0.5042,0.5000,0.0042,0.0520,0.5049,0.0519,2.00,0.80,-0.0829,1.00,1.3820,0.5559,500
1772931620.911392,0.4969,0.5000,-0.0031,0.0687,0.4980,0.0686,2.00,0.80,-0.0779,1.00,1.4110,0.5427,500
1772931620.936246,0.5016,0.5000,0.0016,0.0750,0.5030,0.0749,2.00,0.80,-0.0659,1.00,1.4380,0.5301,500
1772931620.961248,0.5052,0.5000,0.0052,0.0748,0.5066,0.0747,2.00,0.80,-0.0620,1.00,1.4410,0.5287,500
