time_sec,wall_distance,desired_distance,error,ransac_slope,ransac_intercept,wall_angle_rad,Kp,Kd,steering_angle_rad,velocity,forward_distance,corner_urgency,num_wall_points
1772933179.645133,0.7217,0.5000,0.2217,0.0124,0.7217,0.0124,2.00,0.80,-0.0730,2.00,1.7810,0.7448,500
1772933179.660969,0.7222,0.5000,0.2222,0.0124,0.7223,0.0124,2.00,0.80,-0.0732,2.00,1.7780,0.7453,500
1772933179.672727,0.7228,0.5000,0.2228,0.0121,0.7228,0.0121,2.00,0.80,-0.0725,2.00,1.7810,0.7448,500
1772933179.683645,0.7215,0.5000,0.2215,0.0128,0.7216,0.0128,2.00,0.80,-0.0734,2.00,1.7780,0.7453,500
1772933179.702810,0.7219,0.5000,0.2219,0.0124,0.7219,0.0124,2.00,0.80,-0.0730,2.00,1.7800,0.7450,500
1772933179.727516,0.7222,0.5000,0.2222,0.0123,0.7223,0.0123,2.00,0.80,-0.0716,2.00,1.7880,0.7436,500
1772933179.752995,0.7227,0.5000,0.2227,0.0119,0.7227,0.0119,2.00,0.80,-0.0737,2.00,1.7740,0.7460,500
1772933179.780155,0.7215,0.5000,0.2215,0.0127,0.7216,0.0127,2.00,0.80,-0.0742,2.00,1.7730,0.7462,500
1772933179.804795,0.7223,0.5000,0.2223,0.0122,0.7223,0.0122,2.00,0.80,-0.0735,2.00,1.7760,0.7457,500
1772933179.829446,0.7219,0.5000,0.2219,0.0123,0.7220,0.0123,2.00,0.80,-0.0715,2.00,1.7890,0.7435,500
1772933179.854845,0.7222,0.5000,0.2222,0.0120,0.7223,0.0120,2.00,0.80,-0.0726,2.00,1.7820,0.7446,500
1772933179.880371,0.7182,0.5000,0.2182,0.0173,0.7183,0.0173,2.00,0.80,-0.0732,2.00,1.7840,0.7443,500
1772933179.905573,0.7225,0.5000,0.2225,0.0120,0.7226,0.0120,2.00,0.80,-0.0732,2.00,1.7770,0.7455,500
1772933179.932766,0.7221,0.5000,0.2221,0.0125,0.7222,0.0125,2.00,0.80,-0.0735,2.00,1.7760,0.7457,500
1772933179.958578,0.7214,0.5000,0.2214,0.0127,0.7215,0.0127,2.00,0.80,-0.0737,2.00,1.7770,0.7455,500
1772933179.983130,0.7227,0.5000,0.2227,0.0120,0.7228,0.0120,2.00,0.80,-0.0738,2.00,1.7730,0.7462,500
1772933180.007934,0.7217,0.5000,0.2217,0.0125,0.7218,0.0125,2.00,0.80,-0.0734,2.00,1.7780,0.7453,500
1772933180.034218,0.7225,0.5000,0.2225,0.0120,0.7226,0.0120,2.00,0.80,-0.0750,2.00,1.7660,0.7473,500
1772933180.059315,0.7222,0.5000,0.2222,0.0123,0.7222,0.0123,2.00,0.80,-0.0727,2.00,1.7810,0.7448,500
1772933180.084583,0.7217,0.5000,0.2217,0.0127,0.7218,0.0126,2.00,0.80,-0.0743,2.00,1.7720,0.7463,500
1772933180.108874,0.7221,0.5000,0.2221,0.0121,0.7222,0.0121,2.00,0.80,-0.0731,2.00,1.7790,0.7452,500
1772933180.133712,0.7227,0.5000,0.2227,0.0120,0.7228,0.0120,2.00,0.80,-0.0719,2.00,1.7850,0.7441,500
1772933180.158874,0.7207,0.5000,0.2207,0.0132,0.7207,0.0132,2.00,0.80,-0.0733,2.00,1.7810,0.7448,500
1772933180.185765,0.7228,0.5000,0.2228,0.0121,0.7229,0.0121,2.00,0.80,-0.0731,2.00,1.7770,0.7455,500
1772933180.209353,0.7220,0.5000,0.2220,0.0123,0.7221,0.0123,2.00,0.80,-0.0749,2.00,1.7680,0.7470,500
1772933180.233583,0.7219,0.5000,0.2219,0.0124,0.7220,0.0124,2.00,0.80,-0.0733,2.00,1.7780,0.7453,500
1772933180.259100,0.7227,0.5000,0.2227,0.0120,0.7227,0.0120,2.00,0.80,-0.0732,2.00,1.7770,0.7455,500
1772933180.284510,0.7229,0.5000,0.2229,0.0120,0.7229,0.0120,2.00,0.80,-0.0715,2.00,1.7870,0.7438,500
