time_sec,wall_distance,desired_distance,error,ransac_slope,ransac_intercept,wall_angle_rad,Kp,Kd,steering_angle_rad,velocity,forward_distance,corner_urgency,num_wall_points
1772933004.475901,0.6877,0.5000,0.1877,0.0254,0.6879,0.0254,2.00,0.80,-0.0940,2.00,1.7390,0.7518,500
1772933004.494226,0.6887,0.5000,0.1887,0.0248,0.6889,0.0248,2.00,0.80,-0.0933,2.00,1.7410,0.7515,500
1772933004.508281,0.6894,0.5000,0.1894,0.0244,0.6896,0.0244,2.00,0.80,-0.0933,2.00,1.7390,0.7518,500
1772933004.520311,0.6883,0.5000,0.1883,0.0252,0.6885,0.0252,2.00,0.80,-0.0928,2.00,1.7450,0.7508,500
1772933004.531061,0.6896,0.5000,0.1896,0.0244,0.6898,0.0243,2.00,0.80,-0.0935,2.00,1.7370,0.7522,500
1772933004.541645,0.6895,0.5000,0.1895,0.0244,0.6897,0.0244,2.00,0.80,-0.0928,2.00,1.7420,0.7513,500
1772933004.552056,0.6883,0.5000,0.1883,0.0252,0.6885,0.0252,2.00,0.80,-0.0945,2.00,1.7340,0.7527,500
1772933004.562705,0.6888,0.5000,0.1888,0.0249,0.6890,0.0249,2.00,0.80,-0.0925,2.00,1.7460,0.7507,500
1772933004.573334,0.6861,0.5000,0.1861,0.0269,0.6863,0.0269,2.00,0.80,-0.0930,2.00,1.7490,0.7502,500
1772933004.584459,0.6881,0.5000,0.1881,0.0252,0.6884,0.0252,2.00,0.80,-0.0939,2.00,1.7380,0.7520,500
1772933004.595148,0.6901,0.5000,0.1901,0.0240,0.6903,0.0240,2.00,0.80,-0.0929,2.00,1.7400,0.7517,500
1772933004.605724,0.6894,0.5000,0.1894,0.0246,0.6896,0.0246,2.00,0.80,-0.0918,2.00,1.7490,0.7502,500
1772933004.616663,0.6894,0.5000,0.1894,0.0245,0.6896,0.0245,2.00,0.80,-0.0939,2.00,1.7350,0.7525,500
1772933004.627292,0.6889,0.5000,0.1889,0.0248,0.6891,0.0248,2.00,0.80,-0.0936,2.00,1.7380,0.7520,500
1772933004.637868,0.6887,0.5000,0.1887,0.0253,0.6889,0.0253,2.00,0.80,-0.0934,2.00,1.7400,0.7517,500
1772933004.648372,0.6902,0.5000,0.1902,0.0261,0.6904,0.0261,2.00,0.80,-0.0912,2.00,1.7480,0.7503,500
1772933004.658853,0.6900,0.5000,0.1900,0.0280,0.6902,0.0280,2.00,0.80,-0.0902,2.00,1.7530,0.7495,500
1772933004.669321,0.6908,0.5000,0.1908,0.0277,0.6910,0.0277,2.00,0.80,-0.0896,2.00,1.7550,0.7492,500
1772933004.679791,0.6886,0.5000,0.1886,0.0286,0.6889,0.0286,2.00,0.80,-0.0899,2.00,1.7590,0.7485,500
1772933004.706675,0.6899,0.5000,0.1899,0.0293,0.6902,0.0293,2.00,0.80,-0.0889,2.00,1.7600,0.7483,500
1772933004.731983,0.6853,0.5000,0.1853,0.0324,0.6857,0.0324,2.00,0.80,-0.0910,2.00,1.7570,0.7488,500
1772933004.756677,0.6891,0.5000,0.1891,0.0311,0.6894,0.0311,2.00,0.80,-0.0876,2.00,1.7690,0.7468,500
1772933004.782341,0.6893,0.5000,0.1893,0.0325,0.6897,0.0325,2.00,0.80,-0.0864,2.00,1.7740,0.7460,500
1772933004.809523,0.6889,0.5000,0.1889,0.0351,0.6893,0.0350,2.00,0.80,-0.0855,2.00,1.7780,0.7453,500
1772933004.834578,0.6924,0.5000,0.1924,0.0354,0.6928,0.0354,2.00,0.80,-0.0823,2.00,1.7870,0.7438,500
